五識,wǔshì,"five consciousnesses (of eyes, ears, nose, tongue and skin)"
五逆,wǔnì,"the five heinous crimes (usually: matricide, patricide, killing an arhat, wounding the body of a buddha, bringing disharmony to the sangha)"
五道,wǔdào,"the five destinies (god, man, beast, ghost, hell being)"
井輪,jǐnglún,"well wheel pulley, water wheel"
亡,wáng,to die
交,jiāo,"to meet; to intermingle, to mix"
交謝,jiāoxiè,"to take turns, to exchange"
京兆,Jīngzhào,(place name) lit. The Metropolitan Region (area encompassing the capital)
人,rén,"man, men, people"
人事,rénshì,"human affairs; greetings, pleasantries"
仁匠,rénjiàng,master of benevolence
今,jīn,"today, now"
仕宦,shìhuàn,to hold office
他,tā,other (distinguish from modern meaning of “him or he”)
付囑,fùzhǔ,"to entrust, to pass on"
付法,fùfǎ,"to entrust the Law, to entrust the Dharma, to pass on the Dharma"
仙人,xiānrén,"In Chinese context a “transcendent” (sometimes translated “immortal”); in Indian context, a seer or rishi."
令,ling (§§lìng),"Director, Manager; to cause to"
以,yǐ,"a co-verb, meaning “to take, use; with, by means of”"
仰口食,yǎngkǒushí,lit. ‘eating by means of looking up’ (i.e. astrology)
仰山,Yǎngshān,"(name of a monk, a.k.a. 仰山慧寂)"
仲由,Zhòngyóu,"(disciple of Confucius, better known as Zilu 子路, and also known as Jilu 季路). This is a reference to Analects 11.12: “Jilu asked how the spirits of the dead and the gods should be served. The Master said, ‘You are not able even to serve man. How can you serve the spirits?’ ‘May I ask about death?’ ‘You do not understand even life. How can you understand death?’” (from D.C. Lau)"
任,rèn,"to hold the office of, to govern over"
任當洪範,rèndāng hóngfàn,the great model
伊,yī,"him, it"
伏,fú,to subdue
伐,fá,to attack; to kill
休否,xiūfǒu,good or bad fortune
似,sì (<>shì),to appear
伽藍,qiélán,"(Skt.) saṃghārāma, temple, monastery"
住劫,zhùjié,"the kalpa of continuation, the aeon of persistence"
何期,héqī,"I never would have thought, how could it come to be that"
何等,héděng,"(interrogative): what kind of, what manner of"
佛,fó,Buddha
佛圖,fótú,stupa
佛性,fóxìng,Buddha nature
作,zuò,"to do, to make"
作務,zuòwù,"work, perform tasks, physical labor"
作麼生,zuòméshēng (??zuòmeshēng),How about it? (Song colloquial interrogative; equivalent to 怎生)
佯,yáng,to pretend
使,shǐ,"to cause, to make; an envoy"
來,lái,come
侍,shì,to attend
侍中,shìzhōng,an official title
供養,gòngyǎng,"to respectfully support, to make offerings"
依因,yīyīn,"supporting cause, foundation"
依附,yīfù,to depend on
侯,hòu (<>hóu),Marquis
侵嬈,qīnrǎo (<>qīnráo),to harass
侵害,qīnhài,"to harm, to damage"
俄,é,after a short while
信,xìn,faith
信袈裟,xìnjiāshā,"kāṣāya of trust, kāṣāya robe of verification"
修,xiū,"to cultivate, practice"
修目,xīumù (§§xiūmù),lovely eyes
修福,xiūfú,"to cultivate blessings, to make merit"
修進,xiūjìn,improvement; cultivation
俯徇,fǔxùn,"to follow, to obey (俯從,聽從)"
俱,jù,together
俱利,Jùlì,(Skt.) Kareri (Ch. 花林)
俱舍,jùshè (<>jùshě),(Skt.) kośa
俸給,fèngjǐ,salary; benefit
倒,dào,upside down
倚伏,yǐfú,"lit. perching and crouching, here: good and bad fortune (allusion to Laozi 58: “It is on disaster that good fortune perches; it is beneath good fortune that disaster crouches”)"
倦,juàn,"to tire, to weary"
倫,lún,"can be compared to, of the same class as"
偃,yǎn,to lie down
假,jiǎ,provisional
假合,jiǎhé,"provisional union, come together contingently"
假託,jiǎtuō,"to provisionally rely on, to take as a pretext"
偈,jì,"gāthā, verse"
偏,piān,"biased, unbalanced; especially"
偏淺,piānqiǎn,"biased and shallow, partial and superficial"
健人,jiànrén,"strong man, valiant man, hero"
傍廣,pángguǎng (<>bàngguǎng),"expanse, area"
備訪,bèifǎng,to thoroughly look into
傳檄,chuánxí,to promulgate a decree
債,zhài,debt
傷,shāng,"to harm, to injure, to wound, to damage; injury"
傾,qīng,collapse
傾奪,qīngduó,"struggle, compete"
僉,qiān,all
像,xiàng,image; appearance
僕,pú,I
僕射,púshè,An official title
僧伽提婆,Sēngqiétípó (<>sēngjiātípó),(name of monk)
僧伽跋澄,Sēngqiébáchéng (<>sēngjiābáchéng),(monk's name)
僧殘,sēngcán,"(Skt. saṃghāvaśeṣa, saṃghātiśeṣa) lit. monk remain; that is, “one may remain as a monk” (without being expelled from the Order)"
僻口,pìkǒu,to stretch the mouth to one side
儀式,yíshì,"ritual, manners, etiquette, decorum; (Gregory translates here as “observance”)."
儔,chóu,"ilk, type, class"
優填,Yōutián,Udayana
優鉢羅,yōubōlúo (§§yōubōluó),"(Skt.) utpala, a kind of lotus or water-lily (esp. a blue lotus)"
先德,xiāndé,"former worthy, a wise man of the past"
光焰,guāngyàn,flames
光相,guāngxiàng,nimbus; Buddha image; glorious appearance
光音,guāngyīn,Radiant Sound (Heaven); Light Sound (Heaven). (Skt. Ābhāsvara—denizens of this heaven communicate through light rather than sound).
免,miǎn,to avoid
兜率,Dōushuài (<>dōulǜ),Tuṣita
入,rù,to enter
入室,rùshì,"lit. entered the room, advanced (from Analects 11.15: “The Master said, ‘You may not have entered the inner room, but he has ascended the hall.’”)"
內侍,Nèishì,Palace Attendant (official title for eunuchs)
內外,nèiwài,Buddhist and non-Buddhist; mind and body; here: factors internal to meditation and external to meditation
內籍,nèijí,"Buddhist texts (opposed to 外籍, non-Buddhist texts)"
內道場,nèidàochǎng,"Palace Sanctum, palace chapel"
八,bā,eight
八公,bāgōng,eight powerful officials of emperor Wudi of the Jin
公府,gōngfǔ,Ducal Establishment (the household of a Duke)
六師,liùshī,"the “six troops,” the army"
六時,liùshí,"six times (morning, noon, sunset, evening, night, late night)"
六欲天,Liùyùtiān,The Six Heavens of [the Realm of] Desire
六道,liùdào,"The Six Paths (gods, titans, humans, animals, ghosts, hell beings)"
六部,liùbù,"the six ministries (personnel, revenue etc.)"
共業,gòngyè,"shared karma (can mean different things, but given the contrast here between 身 and 界, here it seems to mean the collective karma that drives the formation of the world (e.g.《阿毘達磨大毘婆沙論》卷 21:「此器世界蘇迷盧山洲渚等物一切有情共業所起。」(CBETA, T27, no. 1545, p. 106, c26-27)"
其,qí,his [grammatical particle]
具,jù,together
具緣,jùyuán,to fulfill pre-conditions
具足戒,jùzújiè,"the full precepts, the complete precepts"
兼,jiān,completely
兼著,jiānzhuó (<>jiānzhe),to possess in full
冀部,Jìbù,(place name)
冉閔,Rǎn Mǐn,(person's name)
最,zuì,most
最正覺,zuìzhèngjué,"lit. “most correct awakening,” Skt. abhisaṃbuddha"
冠,guàn (<>guān),"to cap, to top"
冤,yuān,"injustice; grudge, resentment"
冥,míng,"darkness; the unenlightened, the ignorant"
冥符,míngfú,"to match; the mysterious tally, orders from the beyond"
冲和,chōnghé,"lit. the blended generative forces (from Laozi 42 “The myriad creatures carry on their backs the yin and embrace in their arms the yang and are the blending 和 of the generative 冲 forces of the two), harmonious ethers"
冷,lěng,cold
凍,dòng,frozen
凝,níng,"to congeal, to coalesce"
凡,fán,"all, every"
凡夫,fánfū,"an idiot, unenlightened person, fool"
凡愚,fányú,"the common, the foolish, ignorant beings"
凶邪,xiōngxié,"evil, wrongdoing"
出,chū,to come out; to be translated
出世,chūshì,to appear in the world
刀,dāo,"knife, blade"
分,fēn,"duty, station in life"
切,qiè,intense
切諫,qièjiàn,to reprimand
別別,biébié,"disconnected, iterations"
別駕,biéjià,Administrative Aide
利,lì,sharp
到,dào,to arrive at
制,zhì,"to create, to establish"
刺,cì,spike; to stab
刺史,cìshǐ,(title) Prefect; an official title
剃,tì,to shave
剃除,tìchú,to cut off
剃髮,tìfǎ (<>tìfà),"to shave the hair, to take the tonsure"
則,zé,"rule, guideline"
則天,Zétiān,"(personal name, Empress Wu)"
前,qián,previously
前典,qiándiǎn,former legal code
前鋒,qiānfēng (<>qiánfēng),"front guard, vanguard"
剎那,chànà,"(Skt.) kṣaṇa, a moment, an instant"
剛強,gāngqiáng,tough and strong
剝,bō,"peel, skin; to peel, to flay"
割截,gējié,"to sever, to cut off"
劍,jiàn,sword
功,gōng,"merit, fame"
加眉谷,Jiāméigǔ,(place name)
劫,jié,aeon (transliteration of kalpa)
劫風,jiéfēng,wind of the kalpa (a great wind is one of the forces that leads to the formation of a world system during the long period (kalpa) in which the world system takes shape. )
勃然,bórán,"suddenly, immediately"
勅,chì,(equivalent to 飭) order; imperial edict
勅使,chìshǐ,"imperial emissary, imperial messenger"
勝劣,shèngliè,"superior and inferior, or varying ranks"
勝因,shèngyīn,"superior cause, superior precondition"
勸善,quànshàn,"to encourage the good, to exhort to good"
勸發,quànfā,"encourage, inspire"
勿,wù,"is imperative, “do not”"
化洽,huàqià,to teach and transform
匡,kuāng,"assist, succor"
匹,pǐ,comparison
十,shí,ten
十住菩薩,shízhù púsà,the ten abodes of the bodhisattva (ten among the fifty-two stages of the bodhisattva)
十誦律,Shísònglǜ,"The Regulations in Ten Recitations, T. 1435 (Skt. Sarvāstivādavinaya)"
千,qīan (§§qiān),thousand
升,shēng,(a measure) pint
卑,bēi,"poor, inferior"
卒,zú,"foot-soldier; to die; to finish out; entirely, completely; (cù) suddenly"
博涉,bóshè,to read widely
博物,bówù,"knowledge of many things, erudite"
卜相,bǔxiàng (<>boxiāng),"prognostication, fortune-telling"
印手,yìnshǒu,"The name of a Bodhisattva, (Skt. [Ratna]mudrāhasta)"
即,jí,"to approach, to draw near; then, next, thereupon"
原,yuán,"prairie, plateau"
原紹,Yuán Shào,(person's name)
厥田,juétián,"their fields"
厲,lì,"fierce, dangerous, pestilent"
去,qù,to leave
參問,cānwèn,to seek instruction from a master
參堂,cāntáng,to enter the meditation hall; to meditate; initiation into a monastery
參學,cānxué,to seek out and learn
參差,cēncī,"uneven, ragged, messy"
參廁,cāncè,"to join, to accompany"
參懷,cānhuái,"to cherish, to engage in"
叉,chà (<>chā),"trident, pitchfork"
反,fǎn,opposed to; opposite
反三隅,fǎnsānyú,"lit. to bring back three corners, to extrapolate. (from Confucius 7.8 舉一隅不以三隅反,則不復也。If I raise up one corner of a problem and the student cannot come back to me with the other three, I will not attempt to instruct him again)."
叔父,shūfù (<>shúfù),uncle (father’s younger brother)
取,qǔ,"to take, to seize, to pick up"
取捨,qǔshě,"to select, to discriminate"
受,shòu,to receive
受三自歸,shòusān zìguī,to accept the three refuges
受罪,shòuzuì,"lit. “to receive sins,” to be punished for one’s sins"
受都寺,Shòudūsì (<>shòudōusì),(name of a monastery)
叫喚,jiàohuàn,"to call out, to wail"
可畏,kěwèi,frightening
司,sī,master
合,gě (<>hé),(measure for grain)
名,míng,to be named
名實既符,míng shí jì fú,“reputation and reality match”; “fame and accomplishments tally”
名教,míngjiào,"lit. The Teaching of (the Rectification of) Names, Confucianism"
名薄,míngbó (<>míngbáo),name and surname
吏,lì,"functionary, officer"
吐番,Tǔfān,"Turfan, Tibetans (sometimes given as Tǔfán 吐蕃)"
向,xiàng,in the past
含,hán,"to hold in the mouth, to harbor; to inhale"
吳越,Wú Yuè,(place name)
吹,chuī,to blow
吹毛,chuīmáo,to blow a hair; a sharp knife (that cuts a hair blown across its edge)
吾,wú,"I, me"
呈,chéng,to present; to report
告,gào,"to tell, to announce to"
告命,gàomìng,to request orders; to announce commands
周匝,zhōuzā,"circumference, periphery"
周遍,zhōubiàn,everywhere; completely
呵,hē,to castigate
呵責,hēzé,to scold
呻吟,shēnyín,"to moan, to groan"
和上,héshàng,reverend; monk
和合,héhé,"to come together, to coalesce"
和尚,héshàng,"reverend, senior monk"
咎,jiù,"mistake, wrong"
咷,táo,"to weep loudly, to wail"
咸通,Xiántōng,(era name: 860-874)
咽,yān (<>yàn),throat
咽喉,yānhóu,throat
哀,āi,alas; a cry of sorrow
哉,zāi,"(intensifier, equivalent of an exclamation mark)"
唇,chún,lips
唐國,Táng guó,Kingdom of Tang (i.e. China)
唯,wéi,only; (a sentence-opening particle with no translatable meaning)
唱時,chàngshí,to announce the time
唼,qiè (<>shà),"to chew, to bite"
唼,shà,to gobble
啄,zhuó,"to peck; (this seems to be a variant of the expression: zúzhuó tóngshí 啐啄同時, [the chick] chirps and [the hen] pecks [when a chick is ready to emerge from the egg])."
啼,tì (<>tí),"to sob, to cry"
善,shàn,well
善哉,shànzāi,excellent! (哉 marks the previous as emphatic—the equivalent of an exclamation mark)
善根,shàngēn,wholesome roots (a metaphor for goodness)
善知識,shànzhīshì,good and virtuous friend (Skt. kalyāṇamitra).
善誘,shànyòu,"skilled at leading one on, enticement"
喝,hè (<>hē),"to shout, to roar"
喪,sàng,loss; death
喫棒,chībàng,"(lit. eat the stick), be beaten, be clubbed"
喻如,yùrú,"can be compared to, is like"
嗜,shì,"to be fond of; to crave, to thirst for"
嗟,jiē,to sigh; to exclaim
嗣立,sìlì,"to assume the throne, to take over a position"
嘉靖,Jīajìng (§§jiājìng),(era name: 1507-1567)
嘴,zuǐ,mouth
器界,qìjiè,"the receptacle world, the container world, the physical world"
器識,qìshí (<>qìshi),poise and knowledge
嚙,niè,"to bite, to chew, to nip"
囚首,qiúshǒu,"hair disheveled, unkempt"
四,sì,four
四大,sìdà,the four great (elements); the body
四科,sìkē,"the four disciplines (virtue, language, governing, and literature)"
四蘊,sìyùn,"four aggregates (skandha): feeling, perception, impulse, consciousness."
四重,sìzhòng (<>sìchóng),four grave (crimes)
四隣,sìlín,"neighbors on four sides, people in all directions"
困,kùn,tired
國,guó,kingdom
國土,guótǔ,"kingdoms, lands"
圍遶,wéirào,to surround
園,yuán,"garden, grove"
圓備,yuánbèi,"complete, perfect preparation, perfect accomplishment"
在,zaì (§§zài),(to be) at; (in Chan texts also used as a “function word” indicating emphasis—the equivalent of an exclamation mark)
地獄,dìyù,"lit. “earth prison,” hell"
地餅,dìbǐng (<>debǐng),earth cakes
均等,jūnděng,"balanced, even"
坌,bèn,to soil (with dust)
坐,zuò,"to sit; because of, owing to"
垂,chuí,"to hang, to dangle, to drop; to spread, to last"
垂死,chuísǐ,"to approach death, near death"
垢膩,gòunì,"filth, dirt; dirty, soiled"
城邑,chéngyì,"city, town"
埋,mái,to bury
執,zhí,"to hold, to maintain, to cling to"
執勤,zhíqín,"to labor, to work"
執情,zhíqíng,"clinging to discriminations, clinging to emotions"
堂,táng,hall
堂室,tángshì,halls and rooms
堂殿,tángdiàn,halls
堂頭,tángtóu,(monastic title) Chief Monk
堆壓,duīyā,"to pile and press, to crush"
堪忍力,kānrěnlì,power of great tolerance or forbearance
堯舜,"Yáo, Shùn",(names of two sage rulers)
報,bào,"recompense, repay; to reply"
塗,tú,"path, road"
塵,chén,"dust, the mundane"
塵勞,chénláo,"defilements, mental affliction"
塵土,chéntǔ,dust
境,jìng,"realm, world; object of"
境界,jìngjìe (§§jìngjiè),"realm, sphere"
墓,mù,tomb
墜落,zhuìluò,"to fall, to descend to"
增上,zēngshàng,to increase
增減,zēngjiǎn,"increase and decrease; (period of) increasing and decreasing, intermediate kalpa"
增益,zēngyì,to increase
墮,duò,"to fall, to descend"
壓,yā,to press
壞,huài,"bad, rotten, ruined"
壞劫,huàijié,"the kalpa of destruction, the aeon of annihilation"
壟,lǒng,tomb
壽,shòu,lifespan
壽春,Shòuchūn,place name
夏安居,xiàānjū,the summer meditation retreat
夕,xī,dusk
外,wài,outside
外境,wàijìng,external objects (of perception)
外涉,wàishè,to delve into non-Buddhist (writings)
外護,wàihù,"lit. external protector, reliable patron"
夜摩天,Yèmótiān,Yāma Heaven
大,dà,"big, great"
大勢,dàshì,great power
大周,Dà Zhōu,the Great Zhou [dynasty] (founded by Empress Wu)
大士,dàshì,great being (translation of “bodhisattva”)
大姊,dàzǐ,elder sister
大德,dàdé,"man of great virtue (term of respect for monks, from Skt. bhadanta)"
大愚,Dàyú,a.k.a. Gāoān Dàyú 高安大愚
大方,dàfāng,the Great Method (the great Dao). Term most famously found in the Zhuangzi.
大業,Dàyè,lit. “Great Enterprise”; era name (605-616)
大種,dàzhǒng,"lit. “great seeds”; the four elements, physical constitution"
大運,dàyùn,destiny
大鴻臚,dàhónglú,"Minister Herald, who headed the ministry (寺) of foreign affairs"
天,tiān,"Heaven; god, deva; heavenly, celestial"
天下,tiānxià,"lit. all under heaven, the world; a world, land, continent"
天冠,tiānguān,imperial cap; emperor
天子,tiānzǐ,"lit. children of heaven, heavenly beings, minor deities"
天心,tiānxīn,imperial intention
天母,tiānmǔ,here: queen
天竺,Tiānzhú,India
天耳,tiāněr,divine ear (one of the supernormal powers of a buddha)
天逸,tiānyì,naturally transcendent
天魔,tiānmó,"Deva-putra-māra, title of the lord of the sixth heaven of desire; here it may refer to demons of the heavens in general."
太中大夫,Tàizhōngdàfū,Superior Grand Master of the Palace
太元,Tàiyuán,(era name)
太始,Tàishǐ,(era name: 265-274)
太子,tàizǐ,prince
太守,Tàishǒu,Governor
太極,tàijí,"the great ultimate, the great polarity"
太行,Tàiháng (<>tàixíng),(place name)
太陽,Tàiyáng,(place name)
夭,yāo,early death
失,shī,losses
奇特,qítè,"special, remarkable"
奈何,nàihé,"how, why"
奉上,fèngshàng,"to offer to, to give to (a superior)"
奏,zòu,to petition the throne
契經,qìjīng,scriptures
奔馬,bēnmǎ,"to gallop, to race"
奔馳,bēnchí,"to gallup away, to flee"
女休山,Nǚxiūshān,(place name)
奴僕,núpú,slave
好,hào (<>hǎo),"to like, to delight in (contrast with hǎo, meaning “good”)."
好瑞,hǎoruì,auspicious portent
如,rú,"like, as; “thus” in 如是我聞"
如來,rúlái,"thus come, Thus-Come-One; Skt. tathāgata"
如是我聞,rú shì wǒ wén,"Note that 是 is not here a verb; in classical Chinese, it rarely is."
如許,rúxǔ,so; this much
妄,wàng,"immoral conduct, improper behavior; illusory, false"
妄意,wàngyì,"with abandon, deluded"
妄相,wàngxiàng (<>wàngxiāng),"deceptive marks, delusive characteristics, deluded minds"
妖孽,yāoniè,misfortune
妙勝,miàoshèng,"marvelous, supreme"
妙眼,Miàoyǎn,(Skt. Sunetra) lit. Marvelous Eye
妨,fáng,"to impede, to impair"
姚萇,Yáo Cháng,(person's name)
威儀,wēiyí,comportment; dignified behavior
威力,wēilì,"authority, power, might"
娠,shēn,"to conceive, become pregnant"
婆師,póshī,"(Skt.) vārṣika, a kind of jasmine"
婬女,yínnǚ,"promiscuous woman, harlot"
婬妷,yínzhí,"lewd, lascivious; debauchery"
嫌,xián,doubt
嬉怡,xīyí,"joy, happiness, delight"
嬸母,shěnmǔ,aunt (wife of father’s younger brother)
子,zǐ,child; son
子城,zǐchéng,"suburb, city outskirts"
字,zì,A courtesy name
孝廉,xiàolián,Filial and Incorrupt (category of official)
孝武皇帝,Xiàowǔ huángdì,Emperor Xiaowu
季末,jìmò,later generations
孫綽,Sūn Chuò,(person's name)
孫豐,Sūn Fēng,(person's name)
安,ān,"to place, to put, to arrange or install"
安般,Ānbān,"That is, 大安般守意經 , T 602"
安隱,ānyǐn,"serene, at peace"
宗,zōng,doctrine (here the doctrine of karma)
宗匠,zōngjiàng,master craftsman
定,dìng,determined
定取,dìngqǔ,"to choose, to determine"
宛然,wǎnrán,"clear, obvious; whole, intact"
宜,yí,appropriate
宣口,xuānkǒu,"to proclaim, to announce"
宰,zǎi,master
害,hài,"to harm, harmful"
家,jiā,family
容,róng,"to allow, permit"
宿,sù,"from previous lives, karmic"
宿命智,sùmìngzhì,knowledge of past lives (lit. past-destinies-wisdom)
宿川,sùchuān,place name
寂照,jìzhào,"tranquilly illuminating, silent and luminous"
寄名,jìmíng,"to give up a child (e.g. to a temple), to enroll"
寄宿,jìsù,"to lodge, to stay at, to stay the night"
寄食,jìshí,to depend on another for one's livelihood
密迹,Mìjī,"That is, 密迹金剛力士會, T 310 (3) (Skt. Tathāgataguhyasūtra)."
密顯,mìxiǎn,"to subtly reveal, to intimate"
寐,mèi,"to sleep (note the variant: wù 寤, to wake up)"
寒,hán,cold
察,chá,selected (after inspection)
寤,wù,to awaken
實,shí,fruit
實錄,shílù,“veritable record” - a kind of historical record
寧,nìng (<>níng),(interrogative) could it be? how?
寧... ... 也,nìng … yě,could it be that ... ?
寸,cùn,(unit of measure) inch
將,jiāng,to support; to lead to
專,zhuān,to concentrate
尊重,zūnzhòng,to respect
尋,xún,"a short while, a moment"
對,duì,"to respond, to answer; response; consequence"
小成,xiǎochéng,minor accomplishment
尚,shàng,even
就,jiù,"approach; complete, reach"
就勞,jiùláo,to toil
尸棄,Shīqì,(Skt.) Śikhin (a Buddha of the Past)
尸羅,shīluó,"(Skt.) śīla, morality, discipline"
尼拘律,níjūlǜ,(Skt.) nyagrodha (type of tree)
尼拘律樹,níjūlǜshù,"(type of tree), (Skt.) nyagrodha"
尼父,Nífù,"Father Confucius, Confucius"
尿牀,niàochúang (§§niàochuáng),bed-wetter
局,jú,"agency, service"
屈,qū,"injustice, unfair"
屈申,qǔshēn (<>qūshēn),"to bend, to be flexible"
屍,shī,corpse
屎,shǐ,excrement
展轉,zhǎnzhuǎn,"progressively, increasingly"
履,lǚ,to step on; to put into practice
履正,lǚzhèng,to walk the true path
履闥,lǚtà,walk to the door
山,shān,mountain
崑崙子,kūnlúnzǐ (<>kūnlúnzi),"'a Kunlun doll', a popular doll. Kunlun is a Chinese term for non-Han people to the South of China. Chinese describe them as dark-skinned. Here the term may be ridiculing Dàoān for his dark complexion."
崔崒,cuīzú,towering and steep
嵩山,Sōngshān,(place name)
嶺南,Lǐngnán,(place name)
州,Zhōu,(here short for 睦州)
州,zhōu,prefecture
工巧,gōngqiǎo,craftsman
差,chā (<>chà),"somewhat, slightly"
差使,chāishǐ,tasks; to appoint on duty
己丑,jǐchǒu,(corresponds to 1-3:00 in the morning)
己亥,jǐhài,(corresponds to the tenth month in 1546)
已,yǐ,already
市,shì,market
布,bù,"to cover, to spread over"
布薩,bùsà,(Skt.) upavasatha (bi-monthly recitation of the precepts)
師,shī,"troops, soldiers 《增一阿含》 Zēngyī āhán Ekottara Āgama"
常,cháng,"constant, enduring, eternal"
常共,Chánggòng,(place name: probably a mistake for 常山)
常山,Chángshān,(place name)
常離,chánglí,"permanent separation, constant isolation"
幡,fān,banner
幢幡,chuángfān,banners
干,gàn,"to do, to do with"
平等,píngděng,"equal, with equanimity"
平陽公,Píngyánggōng,(title) Duke of Pingyang
年譜,niánpǔ,chronology (of a life)
并州,Bìngzhōu,(place name)
幸,xìng,good fortune; to travel (used for emperor)
幽遠,yōuyuǎn,"the profound, the recondite"
床,chuáng,seat; bed
底,dǐ,"base, bottom"
府,fǔ,superior prefecture
府君,fǔjūn,"magistrate, superior"
度脫,dùtuō,"liberation, release"
座,zuò,seat
庸陋,yōnglòu,"base, unkempt"
廁,cè,"the toilet, the latrine"
廡,wǔ,"corridor; eaves; hall, room, chamber"
廣,guǎng,breadth
延,yán,"to request, to invite"
建元,Jiànyuán,(era name)
建業,Jiǎnyè (<>jiànyè),(place name)
弊欲,bìyù,"corrupt desires, base desires"
式叉摩那,shìchāmónà,"(Skt.) śikṣamāṇā, a novice nun"
弘大,hóngdà,"great, expansive"
弘教,hóngjiào,to spread the Teaching
弟子,dìzi (<>dìzǐ),disciple
張德,Zhāng Dé,(personal name)
張昌期,Zhāng Chāngqī,(person's name)
張殷,Zhāng Yīn,(person's name)
形壽,xíngshòu,life span
形貌,xíngmào,appearance
形骸,xínghái,"the body, physical form"
彥高,Yàngāo,(person’s name)
彭城王,Péngchéng wáng,Prince of Pengcheng (title)
